Year of Year,Region,CO2 (kt)
1960,Sub-Saharan Africa,117666.696
1961,Sub-Saharan Africa,123071.854
1962,Sub-Saharan Africa,127428.25
1963,Sub-Saharan Africa,133599.811
1964,Sub-Saharan Africa,154740.066
1965,Sub-Saharan Africa,171754.946
1966,Sub-Saharan Africa,175249.597
1967,Sub-Saharan Africa,182198.562
1968,Sub-Saharan Africa,186283.6
1969,Sub-Saharan Africa,202132.374
1970,Sub-Saharan Africa,222883.927
1971,Sub-Saharan Africa,256539.653
1972,Sub-Saharan Africa,270499.922
1973,Sub-Saharan Africa,287434.128
1974,Sub-Saharan Africa,305083.399
1975,Sub-Saharan Africa,296234.928
1976,Sub-Saharan Africa,311603.325
1977,Sub-Saharan Africa,314184.893
1978,Sub-Saharan Africa,319465.373
1979,Sub-Saharan Africa,360282.75
1980,Sub-Saharan Africa,372889.896
1981,Sub-Saharan Africa,398148.192
1982,Sub-Saharan Africa,420150.192
1983,Sub-Saharan Africa,426864.469
1984,Sub-Saharan Africa,458099.975
1985,Sub-Saharan Africa,469614.355
1986,Sub-Saharan Africa,475866.59
1987,Sub-Saharan Africa,468561.926
1988,Sub-Saharan Africa,498814.676
1989,Sub-Saharan Africa,474795.826
1990,Sub-Saharan Africa,446585.595
1991,Sub-Saharan Africa,455694.423
1992,Sub-Saharan Africa,455716.425
1993,Sub-Saharan Africa,467883.531
1994,Sub-Saharan Africa,472819.313
1995,Sub-Saharan Africa,486625.568
1996,Sub-Saharan Africa,501718.94
1997,Sub-Saharan Africa,512008.542
1998,Sub-Saharan Africa,508818.252
1999,Sub-Saharan Africa,516570.29
2000,Sub-Saharan Africa,550193.013
2001,Sub-Saharan Africa,552305.205
2002,Sub-Saharan Africa,557479.342
2003,Sub-Saharan Africa,583617.718
2004,Sub-Saharan Africa,648024.906
2005,Sub-Saharan Africa,627907.744
2006,Sub-Saharan Africa,660954.748
2007,Sub-Saharan Africa,686444.065
2008,Sub-Saharan Africa,717067.182
2009,Sub-Saharan Africa,711368.664
2010,Sub-Saharan Africa,713656.872
2011,Sub-Saharan Africa,746186.829
1960,South Asia,137490.498
1961,South Asia,147967.117
1962,South Asia,162913.809
1963,South Asia,175938.993
1964,South Asia,172946.721
1965,South Asia,189792.919
1966,South Asia,196037.82
1967,South Asia,198256.355
1968,South Asia,216793.04
1969,South Asia,220379.366
1970,South Asia,224981.451
1971,South Asia,234244.293
1972,South Asia,245637.662
1973,South Asia,254691.485
1974,South Asia,263356.606
1975,South Asia,285677.635
1976,South Asia,297283.69
1977,South Asia,351551.623
1978,South Asia,356164.709
1979,South Asia,373472.949
1980,South Asia,394066.821
1981,South Asia,423699.848
1982,South Asia,451528.711
1983,South Asia,488844.103
1984,South Asia,506618.052
1985,South Asia,556148.221
1986,South Asia,594464.704
1987,South Asia,635212.408
1988,South Asia,685615.323
1989,South Asia,744716.362
1990,South Asia,782138.097
1991,South Asia,830025.45
1992,South Asia,882584.561
1993,South Asia,918000.447
1994,South Asia,977717.542
1995,South Asia,1037078.938
1996,South Asia,1132072.573
1997,South Asia,1175992.232
1998,South Asia,1205474.912
1999,South Asia,1283530.674
2000,South Asia,1336133.789
2001,South Asia,1360090.3
2002,South Asia,1390350.384
2003,South Asia,1450734.873
2004,South Asia,1536986.38
2005,South Asia,1603095.056
2006,South Asia,1716152.333
2007,South Asia,1835663.53
2008,South Asia,2022596.189
2009,South Asia,2203922.005
2010,South Asia,2197647.768
2011,South Asia,2328350.649
1960,North America,3083748.982
1961,North America,3074863.841
1962,North America,3194551.054
1963,North America,3330490.411
1964,North America,3493998.274
1965,North America,3643256.175
1966,North America,3821399.035
1967,North America,3977818.587
1968,North America,4135118.219
1969,North America,4332347.814
1970,North America,4670617.563
1971,North America,4709608.774
1972,North America,4946342.96
1973,North America,5152241.343
1974,North America,4988902.162
1975,North America,4803931.348
1976,North America,5012888.009
1977,North America,5150899.221
1978,North America,5307183.094
1979,North America,5344326.137
1980,North America,5166880.007
1981,North America,4966192.431
1982,North America,4721955.563
1983,North America,4751016.538
1984,North America,4901231.526
1985,North America,4915085.452
1986,North America,4900941.833
1987,North America,5120298.106
1988,North America,5349228.916
1989,North America,5419140.271
1990,North America,5259336.078
1991,North America,5249673.533
1992,North America,5352118.512
1993,North America,5479077.386
1994,North America,5555904.703
1995,North America,5606003.257
1996,North America,5740637.162
1997,North America,5870313.283
1998,North America,5917837.603
1999,North America,6026388.137
2000,North America,6236807.931
2001,North America,6129826.873
2002,North America,6168587.063
2003,North America,6232917.244
2004,North America,6316477.173
2005,North America,6358677.009
2006,North America,6254625.884
2007,North America,6356242.121
2008,North America,6166958.915
2009,North America,5782022.924
2010,North America,5905450.477
2011,North America,5791425.112
1960,Middle East & North Africa,102210.291
1961,Middle East & North Africa,107454.101
1962,Middle East & North Africa,118348.758
1963,Middle East & North Africa,135884.352
1964,Middle East & North Africa,158183.379
1965,Middle East & North Africa,188157.437
1966,Middle East & North Africa,214138.132
1967,Middle East & North Africa,227962.722
1968,Middle East & North Africa,271974.056
1969,Middle East & North Africa,306876.562
1970,Middle East & North Africa,324096.794
1971,Middle East & North Africa,363869.076
1972,Middle East & North Africa,390689.514
1973,Middle East & North Africa,462122.674
1974,Middle East & North Africa,468543.591
1975,Middle East & North Africa,462170.345
1976,Middle East & North Africa,545631.265
